City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
408,walvis bay,-22.9575,14.5053,64.09,81,100,10.25,NA,1675556537
409,kurchum,48.5722,83.6542,20.26,96,100,4.7,KZ,1675556537
410,irbil,36.1926,44.0106,44.42,76,75,18.41,IQ,1675556539
411,oktyabrskoye,43.0645,44.7417,26.74,92,66,6.71,RU,1675556539
412,tornio,65.8481,24.1466,1.42,95,100,4.92,FI,1675556540
413,komsomolskiy,40.4272,71.7189,38.12,87,100,9.22,UZ,1675556540
414,labuhan,-6.8844,112.2051,77.31,87,100,5.75,ID,1675556541
415,sinnamary,5.3833,-52.95,76.96,87,100,16.64,GF,1675556541
416,preobrazheniye,42.9019,133.9064,21.87,65,44,6.73,RU,1675556541
417,chopovychi,50.8332,28.9533,19.06,93,99,10.47,UA,1675556542
418,galesong,-5.3166,119.3661,75.22,80,100,6.82,ID,1675556542
419,aki,33.5,133.9,44.55,59,24,0.51,JP,1675556543
420,sao felix do xingu,-6.6447,-51.995,72.27,98,98,0.45,BR,1675556544
421,biltine,14.5333,20.9167,71.38,13,100,7.76,TD,1675556544
422,boa vista,2.8197,-60.6733,82.38,69,40,4.61,BR,1675556545
423,port macquarie,-31.4333,152.9167,81.9,54,0,5.01,AU,1675556545
424,borba,-4.3878,-59.5939,73.96,97,97,1.77,BR,1675556546
425,opuwo,-18.0607,13.84,69.49,38,82,4.36,NA,1675556546
426,mancio lima,-7.6142,-72.8958,73.22,94,88,1.68,BR,1675556546
427,sisimiut,66.9395,-53.6735,-8.75,93,40,8.77,GL,1675556547
428,khatanga,71.9667,102.5,-39.57,100,48,4.61,RU,1675556547
429,imeni vorovskogo,55.7233,38.3414,31.62,98,99,2.24,RU,1675556548
430,bollnas,61.3482,16.3946,23.2,84,76,12.82,SE,1675556548
431,sur,22.5667,59.5289,69.73,66,1,6.29,OM,1675556549
432,anadyr,64.75,177.4833,-21.5,76,0,6.71,RU,1675556549
433,miranda,3.2499,-76.2281,73.53,89,78,6.53,CO,1675556549
434,xining,36.6167,101.7667,26.35,35,11,0.87,CN,1675556550
435,swinford,53.95,-8.95,36.34,95,67,2.1,IE,1675556550
436,pitimbu,-7.4706,-34.8086,81.19,80,14,9.75,BR,1675556551
437,storslett,69.7678,21.0247,28.4,64,100,2.3,NO,1675556551
438,miandrivazo,-19.5167,45.4667,75.58,87,100,1.92,MG,1675556552
439,zhigansk,66.7697,123.3711,-43.89,96,44,10.33,RU,1675556552
440,airai,-8.9266,125.4092,64.47,84,100,2.42,TL,1675556553
441,dzaoudzi,-12.7887,45.2699,80.49,83,0,4.61,YT,1675556553
442,grand-bourg,15.8835,-61.3148,75.15,79,0,20.8,GP,1675556554
443,bandar-e lengeh,26.5579,54.8807,62.71,72,0,4.61,IR,1675556554
444,puerto colombia,10.9878,-74.9547,77.09,85,8,23.15,CO,1675556555
445,camacupa,-12.0167,17.4833,61.93,95,99,3.0,AO,1675556555
446,savannah bight,16.45,-85.85,79.3,68,3,12.26,HN,1675556556
447,cabo san lucas,22.8909,-109.9124,81.7,55,0,6.91,MX,1675556326
448,lavrentiya,65.5833,-171.0,-10.25,92,90,7.25,RU,1675556556
449,kondinskoye,59.6481,67.41,-1.34,97,90,5.12,RU,1675556528
450,vardo,70.3705,31.1107,17.58,79,94,12.66,NO,1675556557
451,marsa matruh,31.3525,27.2453,55.33,70,28,15.14,EG,1675556557
452,pacific grove,36.6177,-121.9166,60.42,87,100,21.99,US,1675556558
453,houma,29.5958,-90.7195,60.01,71,0,5.75,US,1675556182
454,huntsville,34.7304,-86.5861,48.45,53,0,10.0,US,1675556336
455,la ronge,55.1001,-105.2842,10.65,79,75,3.44,CA,1675556558
456,rafaela,-31.2503,-61.4867,78.98,34,1,1.01,AR,1675556559
457,dicabisagan,17.0818,122.4157,75.16,84,87,3.53,PH,1675556559
458,buala,-8.145,159.5921,81.81,81,100,6.4,SB,1675556559
459,vredendal,-31.6683,18.5012,67.62,91,100,5.99,ZA,1675556560
460,stavern,59.0,10.0333,36.18,93,100,24.76,NO,1675556560
461,kawanishi,34.8167,135.4167,45.46,72,40,6.91,JP,1675556561
